LAT,LON,DATE,HOUR,SO2,NO2,RSPM,SPM,Precipitation,Specific Humidity,Relative Humidity,Surface Pressure,Wind Speed Min,Wind Speed Max,T Min,T Max,Pop,I No,Micro M,Medium M,Small M,Micro S,Medium S,Small S
9.96521,76.29201,03-01-2017,1,2,4.5,116,158,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,03-01-2017,2,2,30.1,116,158,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,03-01-2017,3,2,4.5,84,150,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,03-01-2017,4,2,22.2,84,150,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,03-01-2017,5,2,4.5,106,189,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,03-01-2017,6,2,27.1,106,189,0,15.12,65.37,100.87,0.32,4.47,23,33,933191.1239,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,1,2,19.9,88,162,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,2,2,4.5,88,162,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,3,2,13.5,91,150,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,4,2,4.5,91,150,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,5,2,18.1,78,135,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,09-01-2017,6,5.5,4.5,78,135,0,15.12,67.4,100.65,0.64,4.31,24,31,933359.1109,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,1,2,19.6,42,107,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,2,4.3,9.5,42,107,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,3,2,12.3,73,175,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,4,2,4.5,73,175,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,5,2,4.5,82,155,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,12-01-2017,6,8.5,4.5,82,155,0,14.6,64.96,100.74,0.5,4.12,24,32,933443.1157,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,1,10.9,49,63,151,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,2,2,19.6,63,151,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,3,2,38.3,44,111,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,4,2,15,44,111,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,5,2,4.5,140,185,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,16-01-2017,6,2,4.5,140,185,0.08,14.16,61.95,100.94,0.58,4.4,24,33,933555.1339,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,1,2,49,106,187,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,2,4.3,28,106,187,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,3,2,53,97,172,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,4,2,10.7,97,172,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,5,6.1,16,66,189,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,20-01-2017,6,2,45,66,189,0.01,13.08,55.12,100.9,0.91,4.27,22,32,933667.1656,15,984,4,186,885,9,174
9.96521,76.29201,23-01-2017,1,2,4.5,56,68,0,12.63,51.76,100.94,0.36,2.93,23,33,933751.1982,15,984,4,186,885,9,174
9.96521,76.29201,23-01-2017,2,2,4.5,56,68,0,12.63,51.76,100.94,0.36,2.93,23,33,933751.1982,15,984,4,186,885,9,174
