,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,240.0,1.0,15.5,102.0,166.0,25.02,31.33,0.0,15.12,65.37,100.87,4.47,0.54,933191.1238783131,0.004912867333218232
1,187.0,1.0,10.8,86.0,149.0,24.94,30.07,0.0,15.12,67.4,100.65,4.31,0.67,933359.1108791954,0.004912867333218232
2,131.0,1.0,9.2,66.0,146.0,25.64,29.76,0.0,14.6,64.96,100.74,4.12,0.49,933443.1157192694,0.004912867333218232
3,173.0,1.0,21.8,82.0,149.0,25.35,30.37,0.08,14.16,61.95,100.94,4.4,0.35,933555.1339338494,0.004912867333218232
4,200.0,1.0,33.6,90.0,183.0,24.63,32.11,0.01,13.08,55.12,100.9,4.27,0.16,933667.1655912201,0.004912867333218232
5,82.0,1.0,13.3,46.0,82.0,24.39,32.89,0.0,12.63,51.76,100.94,2.93,0.62,933751.1981570498,0.004912867333218232
6,223.0,2.0,17.7,97.0,159.0,25.61,29.93,0.53,16.12,70.9,100.92,4.87,0.1,934143.4501436767,0.004912867333218232
7,137.0,2.0,31.0,71.0,129.0,26.03,34.73,0.0,13.15,49.13,101.01,4.56,0.46,934395.6991435823,0.004912867333218232
8,203.0,2.0,5.7,91.0,168.0,26.4,32.81,0.0,17.53,70.07,100.7,7.2,0.34,934563.9029842748,0.004912867333218232
9,118.0,2.0,20.4,45.0,127.0,27.04,34.03,0.0,16.38,63.16,100.82,5.98,1.33,934619.9776595614,0.004912867333218232
10,124.0,2.0,24.8,49.0,136.0,26.58,33.57,0.0,14.86,57.7,100.69,5.79,0.67,934704.09598105,0.004912867333218232
11,190.0,3.0,29.4,87.0,135.0,28.03,33.6,1.93,15.73,58.32,100.41,4.96,1.54,934816.2655200708,0.004912867333218232
12,101.0,3.0,10.6,31.0,102.0,26.55,28.92,12.09,18.41,80.17,100.5,4.03,1.89,934900.4015079968,0.004912867333218232
13,117.0,3.0,15.2,65.0,103.0,26.91,30.88,4.33,18.4,75.34,100.46,4.27,0.38,934956.4963734978,0.004912867333218232
14,99.0,3.0,8.7,45.0,99.0,26.14,31.25,0.62,17.8,74.59,100.74,5.62,0.59,935096.7482628146,0.004912867333218232
15,81.0,3.0,9.1,45.0,81.0,26.55,30.93,14.29,18.4,77.26,100.75,4.08,0.84,935152.8549092975,0.004912867333218232
16,83.0,3.0,4.5,43.0,83.0,26.75,31.31,1.43,17.74,72.61,100.81,4.57,0.2,935293.1362541622,0.004912867333218232
17,71.0,3.0,7.2,42.0,71.0,26.79,33.16,0.55,17.68,68.64,100.74,4.45,0.38,935349.2546841014,0.004912867333218232
18,80.0,3.0,9.3,47.0,80.0,27.05,32.79,0.0,18.04,70.88,100.7,5.35,0.16,935405.3764811968,0.004912867333218232
19,73.0,3.0,11.6,38.0,73.0,27.52,33.5,0.32,18.05,69.56,100.78,5.69,1.33,935489.5654906998,0.004912867333218232
20,90.0,4.0,6.1,54.0,84.0,27.57,31.09,3.72,19.48,77.07,100.52,4.89,1.09,935882.5477339964,0.004912867333218232
21,113.0,4.0,12.5,61.0,119.0,27.84,30.85,0.45,19.4,77.34,100.58,5.21,1.58,936079.1007580851,0.004912867333218232
22,123.0,4.0,9.4,55.0,135.0,27.63,31.53,0.92,18.8,73.79,100.61,4.99,1.34,936163.3504045922,0.004912867333218232
23,85.0,4.0,9.2,41.0,85.0,27.76,31.8,0.08,18.84,73.23,100.64,5.68,2.16,936275.695062024,0.004912867333218232
24,67.0,4.0,17.4,37.0,67.0,27.93,30.58,4.25,19.61,78.02,100.62,4.86,0.96,936331.8724463759,0.004912867333218232
25,83.0,4.0,7.9,42.0,83.0,27.83,32.57,0.58,19.22,73.45,100.65,5.69,0.56,936388.0532014214,0.004912867333218232
26,100.0,5.0,8.5,52.0,100.0,27.51,31.63,14.02,18.84,74.28,100.74,5.15,2.38,936500.4248244026,0.004912867333218232
27,75.0,5.0,4.5,45.0,69.0,27.94,31.36,5.55,20.04,78.33,100.66,4.36,1.67,936584.7123912129,0.004912867333218232
28,99.0,5.0,6.3,42.0,99.0,27.69,32.58,1.89,18.28,70.71,100.74,3.99,2.25,936669.0075441324,0.004912867333218232
29,62.0,5.0,6.9,37.0,47.0,27.44,29.64,11.83,20.43,83.89,100.59,4.24,2.44,936753.310283843,0.004912867333218232
30,67.0,5.0,27.2,31.0,67.0,28.29,30.95,0.97,20.17,78.84,100.49,5.13,1.05,936865.7257396461,0.004912867333218232
31,60.0,5.0,9.0,33.0,60.0,28.05,30.7,7.26,20.79,81.74,100.42,5.16,1.42,936921.9385263697,0.004912867333218232
32,78.0,5.0,7.0,42.0,78.0,26.87,28.87,8.47,19.48,83.89,100.45,6.03,2.78,937062.485249699,0.004912867333218232
33,81.0,5.0,15.7,40.0,81.0,27.57,28.81,9.4,20.48,85.14,100.41,7.24,2.52,937146.8234034658,0.004912867333218232
34,150.0,5.0,4.5,65.0,175.0,27.64,29.79,19.71,20.74,84.35,100.38,7.83,2.61,937259.2860829683,0.004912867333218232
35,67.0,6.0,13.5,37.0,67.0,26.96,30.03,13.2,19.1,79.49,100.46,6.83,2.14,937343.641949341,0.004912867333218232
36,55.0,6.0,7.3,33.0,47.0,26.83,28.51,20.32,20.0,86.83,100.61,6.67,1.51,937456.128248132,0.004912867333218232
37,74.0,6.0,4.5,35.0,74.0,26.56,29.46,0.92,19.41,82.7,100.6,5.82,3.32,937540.5018308312,0.004912867333218232
38,78.0,6.0,5.7,35.0,78.0,26.72,28.91,9.14,19.72,84.87,100.46,6.39,2.9,937653.0117538709,0.004912867333218232
39,89.0,6.0,6.1,44.0,89.0,26.96,28.97,13.85,20.64,88.0,100.55,5.75,3.65,937709.2717784639,0.004912867333218232
40,73.0,6.0,9.7,26.0,73.0,26.82,28.14,1.9,20.23,88.4,100.62,5.82,2.16,937765.5351787091,0.004912867333218232
